Product,Version,LoC,Files
Symfony,2.0.12,120502,2140
Symfony,2.1.3,207540,3363
Symfony,2.3.4,231617,3693
Symfony,2.4.0,253554,4024
Symfony,2.6.5,200219,3083
WordPress,0.71-gold,11612,54
WordPress,1.0-platinum,17460,76
WordPress,1.0.1-miles,17432,75
WordPress,1.0.2,17465,75
WordPress,1.2.1,18866,99
WordPress,1.2.2,20380,100
WordPress,1.5-strayhorn,22646,123
WordPress,1.5.1.2,23449,125
WordPress,1.5.1.3,23472,125
WordPress,1.5.1,23459,125
WordPress,1.5.1.1,23444,125
WordPress,1.5.2,23515,125
WordPress,2.0,27619,138
WordPress,2.0.1,28533,141
WordPress,2.0.4,29107,141
WordPress,2.0.5,29733,142
WordPress,2.0.6,29790,142
WordPress,2.0.7,29875,142
WordPress,2.0.8,29937,142
WordPress,2.0.9,29938,142
WordPress,2.0.10,29996,142
WordPress,2.0.11,30063,142
WordPress,2.1,33777,176
WordPress,2.1.1,33787,176
WordPress,2.1.2,33794,176
WordPress,2.1.3,33860,176
WordPress,2.2,38104,182
WordPress,2.2.1,38249,182
WordPress,2.2.2,38261,182
WordPress,2.2.3,38310,182
WordPress,2.3,41753,209
WordPress,2.3.1,41764,209
WordPress,2.3.2,41961,209
WordPress,2.3.3,41977,209
WordPress,2.5,53072,230
WordPress,2.5.1,53228,230
WordPress,2.6,57346,249
WordPress,2.6.1,57396,249
WordPress,2.6.2,57437,249
WordPress,2.6.3,57468,249
WordPress,2.6.5,57478,249
WordPress,2.7,66097,256
WordPress,2.7.1,66321,256
WordPress,2.8,83235,272
WordPress,2.8.1,83741,272
WordPress,2.8.2,83745,272
WordPress,2.8.3,83811,272
WordPress,2.8.4,83813,272
WordPress,2.8.5,83656,270
WordPress,2.8.6,83690,270
WordPress,2.9,88095,276
WordPress,2.9.1,88149,276
WordPress,2.9.2,88153,276
WordPress,3.0,96408,289
WordPress,3.0.1,96488,289
WordPress,3.0.2,97009,291
WordPress,3.0.3,97042,291
WordPress,3.0.4,97031,291
WordPress,3.0.5,97042,291
WordPress,3.0.6,97049,291
WordPress,3.1,100326,345
WordPress,3.1.1,100368,345
WordPress,3.1.2,100366,345
WordPress,3.1.3,100413,345
WordPress,3.1.4,100501,345
WordPress,3.2,102798,377
WordPress,3.2.1,103262,378
WordPress,3.3,105526,374
WordPress,3.3.1,105564,374
WordPress,3.3.2,105640,374
WordPress,3.3.3,105617,374
WordPress,3.4,110209,387
WordPress,3.4.1,110171,387
WordPress,3.4.2,110232,387
WordPress,3.5,112540,425
WordPress,3.5.1,112647,425
WordPress,3.5.2,112775,425
WordPress,3.6,128193,442
WordPress,3.6.1,128235,442
WordPress,3.7,130720,444
WordPress,3.7.1,130720,444
